epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17450.8,1.70928,2.29735,1.10958,0.56374,0.53551,0.5167,0.26346,1.53583,1.51227,1.0439,0.00333153,0.00333153,0.00333153
2,34140.6,1.63519,1.3908,1.05263,0.57821,0.59465,0.56263,0.28371,1.56257,1.39466,1.06264,0.0065329,0.0065329,0.0065329
3,50757,1.74188,1.46388,1.09348,0.52685,0.47894,0.46521,0.21875,1.73453,1.61587,1.12259,0.00960227,0.00960227,0.00960227
4,67541.4,1.72654,1.42796,1.10258,0.58083,0.56663,0.55172,0.28158,1.61082,1.42479,1.11034,0.009406,0.009406,0.009406
5,84109.7,1.62754,1.31855,1.07349,0.59101,0.57204,0.57711,0.30514,1.50543,1.37429,1.06159,0.009208,0.009208,0.009208
6,100642,1.54565,1.2401,1.04622,0.61227,0.63394,0.62495,0.34981,1.40893,1.24845,1.03852,0.00901,0.00901,0.00901
7,117181,1.51822,1.2042,1.04331,0.65125,0.60096,0.6295,0.35751,1.39104,1.27714,1.03297,0.008812,0.008812,0.008812
8,133898,1.47089,1.15546,1.02512,0.64745,0.65018,0.6473,0.37959,1.31774,1.19363,1.00733,0.008614,0.008614,0.008614
9,150411,1.43694,1.11899,1.01963,0.62105,0.66134,0.65372,0.38676,1.29533,1.19723,1.00366,0.008416,0.008416,0.008416
10,168173,1.41631,1.09476,1.01125,0.66817,0.65753,0.66661,0.39622,1.30552,1.17643,1.0033,0.008218,0.008218,0.008218
11,184666,1.38989,1.06791,1.00664,0.65191,0.66083,0.66743,0.40332,1.29407,1.16089,1.00937,0.00802,0.00802,0.00802
12,201724,1.37016,1.04923,1.00081,0.67175,0.66438,0.68583,0.42036,1.25219,1.11575,0.98799,0.007822,0.007822,0.007822
13,218410,1.3586,1.03372,0.99648,0.66208,0.6725,0.6876,0.42099,1.24418,1.1097,0.98814,0.007624,0.007624,0.007624
14,235575,1.33671,1.00663,0.99191,0.65057,0.68201,0.67891,0.41669,1.24379,1.15718,0.98996,0.007426,0.007426,0.007426
15,252184,1.32907,0.9932,0.99022,0.65977,0.68823,0.68533,0.42126,1.21607,1.10591,0.98113,0.007228,0.007228,0.007228
16,268686,1.31587,0.98533,0.98723,0.65488,0.70807,0.7011,0.43504,1.21296,1.10223,0.97672,0.00703,0.00703,0.00703
17,285183,1.30426,0.97438,0.98002,0.67217,0.69541,0.70198,0.43985,1.19429,1.09149,0.9711,0.006832,0.006832,0.006832
18,301814,1.29243,0.9617,0.97824,0.67435,0.69229,0.7014,0.44203,1.18411,1.0774,0.96734,0.006634,0.006634,0.006634
19,318405,1.28034,0.94565,0.97324,0.68502,0.6999,0.71116,0.44945,1.18361,1.0808,0.97334,0.006436,0.006436,0.006436
20,334994,1.26675,0.93194,0.97097,0.6809,0.7064,0.70321,0.44376,1.17556,1.06483,0.96947,0.006238,0.006238,0.006238
21,351437,1.26064,0.92476,0.96915,0.69199,0.68676,0.71036,0.45055,1.18317,1.07877,0.97563,0.00604,0.00604,0.00604
22,367937,1.25453,0.92108,0.96451,0.68994,0.6966,0.71836,0.45869,1.15921,1.05951,0.96289,0.005842,0.005842,0.005842
23,384431,1.2374,0.90004,0.96489,0.67329,0.71284,0.71628,0.45766,1.16334,1.0584,0.96596,0.005644,0.005644,0.005644
24,401087,1.22301,0.88997,0.95641,0.68304,0.70117,0.71491,0.45778,1.1616,1.06026,0.96578,0.005446,0.005446,0.005446
25,417859,1.22124,0.8777,0.95798,0.68274,0.69787,0.71644,0.4576,1.1641,1.058,0.96527,0.005248,0.005248,0.005248
